species	lifespan	body	volancy	fossoriallity	foraging_environment	daily_activity
Echinops_telfairi	19	180	nonvolant	nonfossorial	semiarboreal	nocturnal
Setifer_setosus	14.1	225	nonvolant	semifossorial	semiarboreal	nocturnal
Elaphodus_cephalophus	22.7	33500	nonvolant	nonfossorial	terrestrial	crepuscular
Eudorcas_thomsonii	20	25000	nonvolant	nonfossorial	terrestrial	diurnal
Gazella_dorcas	23.7	14500	nonvolant	nonfossorial	terrestrial	cathemeral
Gazella_gazella	18.3	23250	nonvolant	nonfossorial	terrestrial	diurnal
Gazella_leptoceros	14.6	48500	nonvolant	nonfossorial	terrestrial	crepuscular
Gazella_subgutturosa	16.3	48500	nonvolant	nonfossorial	terrestrial	cathemeral
Giraffa_camelopardalis	39.5	8.00E+05	nonvolant	nonfossorial	terrestrial	crepuscular
Addax_nasomaculatus	28	92500	nonvolant	nonfossorial	terrestrial	nocturnal
Aepyceros_melampus	25.6	52500	nonvolant	nonfossorial	terrestrial	cathemeral
Alcelaphus_buselaphus	22.5	159000	nonvolant	nonfossorial	terrestrial	diurnal
Ammotragus_lervia	21.7	92500	nonvolant	nonfossorial	terrestrial	crepuscular
Antidorcas_marsupialis	19.8	39000	nonvolant	nonfossorial	terrestrial	cathemeral
Antilocapra_americana	15.5	46100	nonvolant	nonfossorial	terrestrial	cathemeral
Antilope_cervicapra	23.9	37500	nonvolant	nonfossorial	terrestrial	diurnal
Axis_axis	20.8	36000	nonvolant	nonfossorial	terrestrial	cathemeral
Axis_calamianensis	17.2	40500	nonvolant	nonfossorial	terrestrial	cathemeral
Axis_porcinus	22.9	43000	nonvolant	nonfossorial	terrestrial	cathemeral
Babyrousa_babyrussa	22.9	71500	nonvolant	semifossorial	terrestrial	diurnal
Bison_bison	33.5	630000	nonvolant	nonfossorial	terrestrial	diurnal
Bison_bonasus	26.4	610000	nonvolant	nonfossorial	terrestrial	diurnal
Bos_frontalis	26.2	825000	nonvolant	nonfossorial	terrestrial	cathemeral
Bos_grunniens	26.3	667000	nonvolant	nonfossorial	terrestrial	cathemeral
Bos_javanicus	27.1	7.00E+05	nonvolant	nonfossorial	terrestrial	cathemeral
Boselaphus_tragocamelus	21.7	180000	nonvolant	nonfossorial	terrestrial	diurnal
Bubalus_bubalis	34.9	725000	nonvolant	nonfossorial	terrestrial	diurnal
Bubalus_depressicornis	36.1	155000	nonvolant	nonfossorial	terrestrial	diurnal
Budorcas_taxicolor	21.9	180000	nonvolant	nonfossorial	terrestrial	crepuscular
Camelus_bactrianus	35.4	475000	nonvolant	nonfossorial	terrestrial	diurnal
Camelus_dromedarius	28.4	434000	nonvolant	nonfossorial	terrestrial	diurnal
Capra_caucasica	19.3	70000	nonvolant	nonfossorial	terrestrial	cathemeral
Capra_falconeri	19.1	41000	nonvolant	nonfossorial	terrestrial	diurnal
Capra_hircus	20.8	61000	nonvolant	nonfossorial	terrestrial	cathemeral
Capra_ibex	20.9	82500	nonvolant	nonfossorial	terrestrial	diurnal
Capra_nubiana	22.4	46250	nonvolant	nonfossorial	terrestrial	diurnal
Capra_sibirica	22.3	130000	nonvolant	nonfossorial	terrestrial	diurnal
Capreolus_capreolus	17.5	21666.7	nonvolant	nonfossorial	terrestrial	crepuscular
Cephalophus_natalensis	15.2	10000	nonvolant	nonfossorial	terrestrial	nocturnal
Cephalophus_rufilatus	15.2	13000	nonvolant	nonfossorial	terrestrial	nocturnal
Cephalophus_silvicultor	22.5	62000	nonvolant	nonfossorial	terrestrial	nocturnal
Cervus_elaphus	31.5	2.00E+05	nonvolant	nonfossorial	terrestrial	diurnal
Cervus_nippon	26.3	42000	nonvolant	nonfossorial	terrestrial	cathemeral
Connochaetes_gnou	21.8	132250	nonvolant	nonfossorial	terrestrial	diurnal
Connochaetes_taurinus	24.3	164500	nonvolant	nonfossorial	terrestrial	diurnal
Dama_dama	21.1	70000	nonvolant	nonfossorial	terrestrial	diurnal
Damaliscus_lunatus	23.6	110000	nonvolant	nonfossorial	terrestrial	crepuscular
Damaliscus_pygargus	23	84500	nonvolant	nonfossorial	terrestrial	crepuscular
Hexaprotodon_liberiensis	42.3	215000	nonvolant	nonfossorial	aquatic	nocturnal
Hippopotamus_amphibius	61.2	3750000	nonvolant	nonfossorial	terrestrial	nocturnal
Hippotragus_equinus	25.9	225000	nonvolant	nonfossorial	terrestrial	diurnal
Hippotragus_niger	22.2	225000	nonvolant	nonfossorial	terrestrial	diurnal
Kobus_ellipsiprymnus	30	175333	nonvolant	nonfossorial	terrestrial	crepuscular
Kobus_kob	21.9	105000	nonvolant	nonfossorial	terrestrial	crepuscular
Kobus_leche	25.4	94800	nonvolant	nonfossorial	terrestrial	crepuscular
Kobus_megaceros	21.1	90000	nonvolant	nonfossorial	terrestrial	crepuscular
Lama_glama	28.9	140000	nonvolant	nonfossorial	terrestrial	diurnal
Litocranius_walleri	17.3	43500	nonvolant	nonfossorial	terrestrial	diurnal
Madoqua_kirkii	17.3	5000	nonvolant	nonfossorial	terrestrial	cathemeral
Mazama_americana	17.1	33000	nonvolant	nonfossorial	terrestrial	cathemeral
Muntiacus_muntjak	18.8	21000	nonvolant	nonfossorial	terrestrial	cathemeral
Muntiacus_reevesi	23.2	18000	nonvolant	nonfossorial	terrestrial	cathemeral
Nanger_dama	19.3	73000	nonvolant	nonfossorial	terrestrial	diurnal
Odocoileus_hemionus	22	57000	nonvolant	nonfossorial	terrestrial	crepuscular
Odocoileus_virginianus	23	87000	nonvolant	nonfossorial	terrestrial	crepuscular
Okapia_johnstoni	33.5	225000	nonvolant	nonfossorial	terrestrial	diurnal
Oreotragus_oreotragus	25.9	12000	nonvolant	nonfossorial	terrestrial	diurnal
Oryx_dammah	27.5	177500	nonvolant	nonfossorial	terrestrial	diurnal
Oryx_gazella	23.8	170000	nonvolant	nonfossorial	terrestrial	diurnal
Oryx_leucoryx	20.8	121350	nonvolant	nonfossorial	terrestrial	diurnal
Ovis_aries	22.8	80000	nonvolant	nonfossorial	terrestrial	diurnal
Ovis_canadensis	20.6	70275	nonvolant	nonfossorial	terrestrial	diurnal
Ovis_dalli	19.6	73100	nonvolant	nonfossorial	terrestrial	diurnal
Pecari_tajacu	31.5	20200	nonvolant	nonfossorial	terrestrial	cathemeral
Phacochoerus_africanus	20.9	1.00E+05	nonvolant	semifossorial	terrestrial	cathemeral
Philantomba_monticola	15.9	6250	nonvolant	nonfossorial	terrestrial	nocturnal
Potamochoerus_porcus	22	88000	nonvolant	semifossorial	terrestrial	nocturnal
Przewalskium_albirostris	21.3	135000	nonvolant	nonfossorial	terrestrial	crepuscular
Pseudois_nayaur	20.9	55000	nonvolant	nonfossorial	terrestrial	diurnal
Pudu_puda	18.3	10000	nonvolant	nonfossorial	terrestrial	cathemeral
Rangifer_tarandus	21.8	101250	nonvolant	nonfossorial	terrestrial	diurnal
Raphicerus_campestris	9.3	13000	nonvolant	nonfossorial	terrestrial	diurnal
Rucervus_duvaucelii	24.5	170000	nonvolant	nonfossorial	terrestrial	cathemeral
Rucervus_eldii	20.5	122500	nonvolant	nonfossorial	terrestrial	cathemeral
Rupicapra_rupicapra	17.6	37500	nonvolant	nonfossorial	terrestrial	cathemeral
Rusa_timorensis	21.1	63000	nonvolant	nonfossorial	terrestrial	nocturnal
Rusa_unicolor	26.4	185000	nonvolant	nonfossorial	terrestrial	nocturnal
Sus_barbatus	16.2	102750	nonvolant	semifossorial	terrestrial	nocturnal
Sus_scrofa	27	130000	nonvolant	semifossorial	terrestrial	nocturnal
Sylvicapra_grimmia	15.4	18500	nonvolant	nonfossorial	terrestrial	nocturnal
Syncerus_caffer	29.8	7.00E+05	nonvolant	nonfossorial	terrestrial	cathemeral
Taurotragus_derbianus	20.3	680000	nonvolant	nonfossorial	terrestrial	crepuscular
Taurotragus_oryx	26.1	5.00E+05	nonvolant	nonfossorial	terrestrial	crepuscular
Tayassu_pecari	28.5	22000	nonvolant	nonfossorial	terrestrial	cathemeral
Tragelaphus_angasii	18.5	120000	nonvolant	nonfossorial	terrestrial	crepuscular
Tragelaphus_eurycerus	21.9	307500	nonvolant	nonfossorial	terrestrial	crepuscular
Tragelaphus_imberbis	19.8	82500	nonvolant	nonfossorial	terrestrial	nocturnal
Tragelaphus_scriptus	15.3	60000	nonvolant	nonfossorial	terrestrial	cathemeral
Tragelaphus_spekii	22.6	87500	nonvolant	nonfossorial	terrestrial	cathemeral
Tragelaphus_strepsiceros	23.5	217500	nonvolant	nonfossorial	terrestrial	cathemeral
Tragulus_javanicus	14	2850	nonvolant	nonfossorial	terrestrial	nocturnal
Tragulus_napu	16.7	6500	nonvolant	nonfossorial	terrestrial	nocturnal
Vicugna_vicugna	31.6	50000	nonvolant	nonfossorial	terrestrial	diurnal
Enhydra_lutris	27	25850	nonvolant	nonfossorial	aquatic	diurnal
Felis_chaus	20	10000	nonvolant	nonfossorial	terrestrial	cathemeral
Felis_manul	15.9	3500	nonvolant	nonfossorial	terrestrial	cathemeral
Felis_margarita	13.9	2750	nonvolant	nonfossorial	terrestrial	nocturnal
Felis_nigripes	15.6	2125	nonvolant	nonfossorial	terrestrial	nocturnal
Felis_silvestris	19	5500	nonvolant	nonfossorial	terrestrial	nocturnal
Genetta_genetta	22.7	1866.7	nonvolant	nonfossorial	semiarboreal	nocturnal
Gulo_gulo	19.5	16333.3	nonvolant	nonfossorial	terrestrial	cathemeral
Acinonyx_jubatus	20.5	53500	nonvolant	nonfossorial	terrestrial	diurnal
Ailurus_fulgens	19	4325	nonvolant	nonfossorial	terrestrial	cathemeral
Aonyx_cinerea	23	3000	nonvolant	nonfossorial	aquatic	nocturnal
Arctictis_binturong	27	12250	nonvolant	nonfossorial	arboreal	nocturnal
Bassariscus_astutus	19	1015	nonvolant	nonfossorial	arboreal	nocturnal
Canis_aureus	18.8	11000	nonvolant	nonfossorial	terrestrial	nocturnal
Canis_latrans	21.8	13250	nonvolant	semifossorial	terrestrial	nocturnal
Canis_lupus	20.6	26625	nonvolant	semifossorial	terrestrial	nocturnal
Canis_mesomelas	16.7	10250	nonvolant	nonfossorial	terrestrial	cathemeral
Caracal_caracal	20.3	16000	nonvolant	nonfossorial	terrestrial	nocturnal
Chrysocyon_brachyurus	16.8	21500	nonvolant	nonfossorial	terrestrial	nocturnal
Crocuta_crocuta	41.1	63000	nonvolant	nonfossorial	terrestrial	nocturnal
Cryptoprocta_ferox	23.1	9500	nonvolant	nonfossorial	semiarboreal	cathemeral
Cuon_alpinus	16.1	15750	nonvolant	semifossorial	terrestrial	cathemeral
Cynictis_penicillata	15.2	598.5	nonvolant	semifossorial	terrestrial	diurnal
Helarctos_malayanus	35.9	46000	nonvolant	nonfossorial	semiarboreal	nocturnal
Helogale_parvula	18	274.8	nonvolant	semifossorial	terrestrial	diurnal
Hyaena_hyaena	25	40000	nonvolant	nonfossorial	terrestrial	nocturnal
Leopardus_geoffroyi	23	4000	nonvolant	nonfossorial	terrestrial	nocturnal
Leopardus_pardalis	28.2	8800	nonvolant	nonfossorial	terrestrial	nocturnal
Leopardus_wiedii	24	3666.7	nonvolant	nonfossorial	arboreal	nocturnal
Leptailurus_serval	22.4	13350	nonvolant	nonfossorial	terrestrial	nocturnal
Lontra_canadensis	27	9000	nonvolant	semifossorial	aquatic	nocturnal
Lutra_lutra	18.2	6750	nonvolant	semifossorial	aquatic	cathemeral
Lycaon_pictus	17	26500	nonvolant	nonfossorial	terrestrial	crepuscular
Lynx_lynx	23.7	23000	nonvolant	nonfossorial	terrestrial	nocturnal
Lynx_rufus	32.3	8600	nonvolant	nonfossorial	terrestrial	nocturnal
Martes_flavigula	16	2500	nonvolant	nonfossorial	semiarboreal	diurnal
Meles_meles	18.6	13000	nonvolant	semifossorial	terrestrial	nocturnal
Melursus_ursinus	33.3	1.00E+05	nonvolant	nonfossorial	terrestrial	nocturnal
Mephitis_mephitis	13.9	3500	nonvolant	semifossorial	terrestrial	nocturnal
Mungos_mungo	17.4	1331.5	nonvolant	semifossorial	terrestrial	diurnal
Mustela_lutreola	8.4	590	nonvolant	semifossorial	terrestrial	nocturnal
Mustela_nigripes	9.4	1021	nonvolant	semifossorial	terrestrial	nocturnal
Mustela_putorius	11.1	809	nonvolant	semifossorial	terrestrial	nocturnal
Mustela_sibirica	8.8	565	nonvolant	semifossorial	terrestrial	nocturnal
Nasua_narica	26.4	3750	nonvolant	nonfossorial	semiarboreal	cathemeral
Nasua_nasua	23.7	4750	nonvolant	nonfossorial	semiarboreal	cathemeral
Neofelis_nebulosa	19.8	19500	nonvolant	nonfossorial	semiarboreal	nocturnal
Nyctereutes_procyonoides	16.6	6500	nonvolant	semifossorial	terrestrial	cathemeral
Otocyon_megalotis	17	4150	nonvolant	semifossorial	terrestrial	cathemeral
Panthera_leo	27	175000	nonvolant	nonfossorial	terrestrial	nocturnal
Panthera_onca	28	81150	nonvolant	nonfossorial	terrestrial	cathemeral
Panthera_pardus	27.3	53750	nonvolant	nonfossorial	terrestrial	nocturnal
Panthera_tigris	26.3	119700	nonvolant	nonfossorial	terrestrial	nocturnal
Potos_flavus	38.4	3000	nonvolant	nonfossorial	arboreal	nocturnal
Prionailurus_bengalensis	17	5000	nonvolant	nonfossorial	semiarboreal	nocturnal
Prionailurus_rubiginosus	17.9	1350	nonvolant	nonfossorial	semiarboreal	nocturnal
Procyon_lotor	21	6000	nonvolant	nonfossorial	semiarboreal	nocturnal
Puma_concolor	23.8	63000	nonvolant	nonfossorial	terrestrial	cathemeral
Speothos_venaticus	14.1	6000	nonvolant	semifossorial	aquatic	diurnal
Suricata_suricatta	20.6	776	nonvolant	semifossorial	terrestrial	diurnal
Tremarctos_ornatus	39	109250	nonvolant	nonfossorial	semiarboreal	nocturnal
